ph,temperature,humidity,flow,turbidity,tds,biofilm_risk_percent,biofilm_formation_label
7.04,25.33,67.94,29.85,2987.58,1151.04,87.52,HIGH
7.07,25.81,67.88,29.25,2950.35,1211.74,87.84,HIGH
7.09,26.14,68.77,29.74,2958.55,1166.26,87.78,HIGH
7.13,26.36,69.73,31.0,2940.1,1185.54,87.3,HIGH
7.08,26.85,68.78,29.49,2895.15,1205.59,88.4,HIGH
7.11,26.92,68.83,27.64,2912.8,1180.42,88.83,HIGH
7.12,26.97,69.17,27.03,2923.44,1165.18,89.0,HIGH
7.16,26.95,68.88,26.02,2933.73,1129.18,88.98,HIGH
7.12,26.81,68.61,27.64,2883.99,1129.99,88.68,HIGH
7.13,26.58,68.62,25.67,2858.44,1154.0,89.06,HIGH
7.13,26.57,68.39,26.85,2887.88,1198.67,88.67,HIGH
7.15,26.87,68.74,25.57,2864.32,1126.93,89.15,HIGH
7.12,26.49,69.14,23.6,2827.79,1139.34,89.7,HIGH
7.16,26.77,69.78,25.17,2871.19,1140.14,89.14,HIGH
7.17,27.24,69.24,23.27,2914.96,1205.46,89.98,HIGH
7.19,27.4,69.41,23.39,2877.37,1106.5,89.89,HIGH
7.15,27.1,69.13,25.24,2915.75,1193.87,89.43,HIGH
7.14,27.12,69.09,26.01,2884.3,1133.37,89.27,HIGH
7.14,27.31,69.58,26.02,2918.57,1130.27,89.39,HIGH
7.19,27.21,70.26,27.08,2945.74,1197.1,88.69,HIGH
7.14,27.64,69.48,26.1,2929.45,1211.2,89.61,HIGH
7.09,27.77,68.62,25.96,3000.0,1257.17,90.03,HIGH
7.08,27.36,67.7,25.16,3000.0,1252.4,90.07,HIGH
7.1,27.23,67.09,26.94,3000.0,1255.92,89.33,HIGH
7.08,26.83,66.41,26.41,2975.72,1194.0,89.32,HIGH
7.07,26.58,66.2,26.57,2951.7,1151.19,89.18,HIGH
7.11,26.99,65.66,24.68,2994.37,1206.94,89.79,HIGH
7.09,26.8,66.56,22.91,3000.0,1245.68,90.31,HIGH
7.08,26.75,66.74,23.2,3000.0,1196.89,90.22,HIGH
7.12,27.02,65.84,22.2,3000.0,1226.42,90.48,HIGH
7.16,27.37,66.42,23.67,2952.32,1174.87,90.03,HIGH
7.18,27.74,66.85,24.67,2968.26,1151.86,89.85,HIGH
7.14,27.59,67.44,24.99,2983.75,1168.68,89.9,HIGH
7.18,27.18,66.45,24.45,2977.55,1174.46,89.53,HIGH
7.14,27.32,65.49,24.71,3000.0,1236.08,89.76,HIGH
7.18,27.5,65.89,23.01,3000.0,1188.38,90.17,HIGH
7.16,27.59,66.4,23.37,3000.0,1180.67,90.27,HIGH
7.16,27.98,65.78,22.81,3000.0,1223.29,90.71,HIGH
7.16,27.94,66.1,24.52,2986.45,1172.45,90.16,HIGH
7.21,28.35,66.06,24.37,2967.68,1147.89,90.16,HIGH
7.21,27.95,66.22,23.59,2918.37,1169.39,90.11,HIGH
7.24,28.09,65.39,22.57,3000.0,1176.85,90.29,HIGH
7.27,28.31,66.21,20.76,2991.61,1170.46,90.79,HIGH
7.3,28.57,65.96,21.63,3000.0,1194.3,90.51,HIGH
7.32,28.81,66.15,22.87,2982.43,1202.06,90.19,HIGH
7.29,28.88,65.46,24.34,2935.59,1218.69,89.98,HIGH
7.33,28.89,66.35,25.18,2910.48,1181.99,89.48,HIGH
7.33,28.67,66.09,23.71,2912.18,1214.07,89.81,HIGH
7.34,28.79,66.51,22.93,2881.17,1198.78,90.04,HIGH
7.32,28.56,66.28,23.96,2867.12,1191.85,89.7,HIGH
7.34,28.15,66.43,22.42,2911.17,1211.37,89.71,HIGH
7.37,28.51,65.89,22.48,2952.94,1218.36,89.77,HIGH
7.42,28.3,66.47,24.25,2947.7,1136.7,88.79,HIGH
7.44,28.63,67.19,24.87,2961.89,1181.01,88.68,HIGH
7.4,28.79,67.44,23.01,2935.03,1142.53,89.62,HIGH
7.41,28.51,68.39,24.95,2915.91,1174.76,88.74,HIGH
7.42,28.6,69.17,24.99,2942.61,1168.19,88.72,HIGH
7.44,28.1,69.88,24.58,2968.51,1211.0,88.37,HIGH
7.44,28.29,70.28,24.93,2986.28,1239.64,88.39,HIGH
7.42,28.57,69.78,25.4,2968.31,1199.0,88.6,HIGH
7.47,28.81,70.34,26.73,3000.0,1236.94,88.04,HIGH
7.47,28.54,69.59,28.05,3000.0,1211.27,87.45,HIGH
7.45,28.63,70.46,27.07,3000.0,1242.4,87.95,HIGH
7.46,28.91,69.77,26.62,3000.0,1244.29,88.21,HIGH
7.5,29.38,70.59,27.96,2958.82,1182.23,87.88,HIGH
7.54,29.72,69.65,26.0,2989.85,1203.72,88.42,HIGH
7.55,29.32,69.24,25.21,3000.0,1233.5,88.35,HIGH
7.52,29.14,68.85,25.95,2976.81,1164.86,88.2,HIGH
7.52,29.18,67.87,24.65,2946.94,1228.51,88.57,HIGH
7.48,29.33,67.69,25.42,2907.88,1204.33,88.76,HIGH
7.46,28.88,67.95,27.18,2953.11,1148.14,88.06,HIGH
7.49,29.12,68.59,27.01,2923.62,1180.17,88.05,HIGH
7.46,29.37,69.33,25.08,2922.41,1165.56,88.97,HIGH
7.45,29.0,70.07,25.87,2955.16,1198.38,88.59,HIGH
7.44,29.31,69.95,26.48,2949.92,1136.85,88.64,HIGH
7.44,28.86,70.52,41.99,2953.13,1172.18,83.68,HIGH
7.46,28.41,70.51,42.56,2973.52,1160.31,83.1,HIGH
7.44,28.3,70.9,41.23,2944.29,1227.71,83.56,HIGH
7.44,28.67,71.9,39.86,2928.16,1167.34,84.2,HIGH
7.44,28.72,71.24,39.1,2956.6,1192.16,84.5,HIGH
7.46,28.83,70.48,40.69,2973.58,1178.53,83.91,HIGH
7.42,29.24,71.37,40.97,2950.84,1167.16,84.44,HIGH
7.46,28.98,71.22,40.68,2963.43,1199.6,84.06,HIGH
7.51,29.07,71.22,40.03,2931.67,1189.88,83.99,HIGH
7.47,28.61,70.74,41.45,2895.56,1125.07,83.48,HIGH
7.52,28.66,70.22,80.11,2860.08,1170.2,71.6,HIGH
7.54,28.6,69.24,78.74,2827.1,1101.14,71.82,HIGH
7.53,28.98,68.47,79.15,2830.08,1161.38,72.05,HIGH
7.58,29.41,68.79,77.66,2781.03,1126.6,72.49,HIGH
7.58,29.1,68.99,75.66,2737.48,1096.36,72.85,HIGH
7.54,28.79,69.35,74.34,2782.23,1140.56,73.3,HIGH
7.57,29.27,69.16,76.3,2745.32,1128.54,72.82,HIGH
7.6,29.09,70.12,77.58,2745.37,1092.46,72.15,HIGH
7.64,28.77,69.59,76.13,2730.93,1128.06,72.08,HIGH
7.64,29.26,69.17,77.21,2779.02,1085.48,72.08,HIGH
7.62,28.81,68.63,76.6,2767.68,1131.04,72.11,HIGH
7.66,28.96,69.16,75.88,2775.19,1071.82,72.18,HIGH
7.7,28.82,69.89,75.56,2741.65,1090.0,71.88,HIGH
7.72,28.74,69.27,74.2,2748.03,1051.25,72.1,HIGH
7.75,28.32,69.13,73.23,2707.79,1115.74,71.91,HIGH
7.77,28.13,69.37,72.12,2731.74,1097.26,71.97,HIGH
7.82,27.76,70.07,72.23,2747.81,1101.4,71.37,HIGH
7.85,28.19,69.69,70.43,2744.64,1096.41,71.99,HIGH
7.84,28.65,69.77,72.3,2737.05,1057.09,71.84,HIGH
7.83,28.66,68.94,71.35,2695.33,1048.64,72.2,HIGH
7.87,28.33,68.05,69.75,2735.44,1118.19,72.14,HIGH
7.92,27.91,68.66,68.53,2703.7,1051.95,71.92,HIGH
7.9,28.39,68.51,69.84,2659.74,1024.53,71.99,HIGH
7.92,28.82,67.95,70.77,2708.73,1063.44,71.89,HIGH
7.9,28.46,68.19,69.17,2674.24,1116.79,72.21,HIGH
7.87,28.86,67.78,69.08,2713.03,1116.26,72.74,HIGH
7.84,28.52,68.37,68.41,2723.24,1066.33,72.93,HIGH
7.81,28.79,68.24,67.25,2738.83,1072.3,73.64,HIGH
7.81,28.63,68.59,69.11,2699.94,1054.14,72.93,HIGH
7.77,29.03,69.46,69.39,2652.82,1096.84,73.4,HIGH
7.75,29.28,69.15,69.98,2700.18,1100.83,73.56,HIGH
7.7,29.16,69.53,71.3,2665.91,1064.97,73.4,HIGH
7.72,29.01,70.05,71.45,2666.35,1030.76,73.11,HIGH
7.7,29.36,69.17,69.8,2619.74,1021.73,74.02,HIGH
7.68,28.91,68.49,71.59,2656.5,1080.93,73.25,HIGH
7.7,28.75,68.41,73.09,2642.36,1014.35,72.59,HIGH
7.69,29.24,69.02,73.88,2613.75,1084.26,72.75,HIGH
7.69,29.56,68.69,72.36,2616.15,1048.23,73.44,HIGH
7.71,29.06,67.92,73.45,2628.31,1027.82,72.64,HIGH
7.67,29.51,67.26,71.95,2635.26,1069.83,73.68,HIGH
7.65,29.59,67.58,73.24,2596.36,1065.76,73.45,HIGH
7.69,29.33,67.62,73.96,2604.88,1025.32,72.81,HIGH
7.68,29.28,67.92,73.16,2621.04,1028.41,73.06,HIGH
7.69,29.34,67.23,72.41,2607.97,1040.98,73.28,HIGH
7.65,29.49,67.99,71.08,2588.31,989.47,73.89,HIGH
7.69,29.57,68.42,70.93,2572.99,1038.58,73.88,HIGH
7.74,29.38,68.26,71.65,2614.77,1094.73,73.22,HIGH
7.69,29.53,67.96,70.92,2645.81,1037.82,73.82,HIGH
7.68,29.33,66.98,70.37,2633.14,1030.39,73.9,HIGH
7.68,29.73,66.41,69.17,2618.65,1075.6,74.55,HIGH
7.73,30.2,66.47,67.33,2782.38,1069.81,74.83,HIGH
7.77,30.14,65.8,68.18,2742.76,1132.0,74.35,HIGH
7.75,29.68,65.58,69.08,2698.52,1106.46,74.07,HIGH
7.8,30.0,66.45,69.14,2658.39,1060.17,73.95,HIGH
7.76,30.01,65.61,70.93,2639.45,1033.54,73.68,HIGH
7.81,30.43,65.9,72.92,2642.86,1040.85,72.48,HIGH
7.83,29.93,66.23,71.16,2646.83,1027.65,73.15,HIGH
7.86,30.42,66.31,70.15,2625.7,1059.42,72.97,HIGH
7.86,30.77,65.43,70.9,2582.38,987.6,72.37,HIGH
7.83,30.66,66.13,70.72,2589.16,1040.95,72.85,HIGH
7.83,31.12,66.53,69.61,2557.43,1024.18,72.88,HIGH
7.85,31.07,65.82,68.23,2567.79,1011.7,73.17,HIGH
7.86,30.68,65.51,67.19,2566.88,1020.76,73.67,HIGH
7.88,30.21,66.25,66.88,2569.01,993.01,73.88,HIGH
7.85,30.43,67.03,66.81,2611.67,1030.1,74.02,HIGH
7.84,30.71,67.24,66.48,2607.39,1060.69,74.01,HIGH
7.83,30.84,67.04,68.47,2619.79,1070.43,73.37,HIGH
7.84,31.1,67.71,67.81,2665.26,1044.51,73.33,HIGH
7.81,31.21,67.97,67.07,2700.3,1050.78,73.69,HIGH
7.83,31.66,67.8,65.44,2722.31,1053.63,73.74,HIGH
7.87,31.18,66.95,63.77,2766.56,1109.42,74.31,HIGH
7.84,31.65,67.76,62.45,2778.49,1129.41,74.58,HIGH
7.82,31.31,68.04,60.82,2749.71,1058.3,75.45,HIGH
7.83,30.91,68.87,62.34,2754.21,1070.3,75.18,HIGH
7.81,31.4,69.48,61.25,2974.46,1205.24,75.32,HIGH
7.79,31.41,69.48,60.84,2968.51,1219.72,75.53,HIGH
7.76,31.71,69.69,60.7,2970.51,1144.42,75.58,HIGH
7.73,31.95,70.13,60.86,3000.0,1154.9,75.56,HIGH
7.75,31.8,69.27,59.84,3000.0,1196.62,75.86,HIGH
7.8,31.56,70.14,58.31,3000.0,1164.77,76.16,HIGH
7.84,31.66,70.4,59.3,2974.52,1220.59,75.51,HIGH
7.86,31.77,69.46,59.02,2965.36,1149.04,75.39,HIGH
7.83,31.46,70.08,57.13,3000.0,1201.9,76.39,HIGH
7.78,31.05,70.15,55.86,2959.38,1141.31,77.34,HIGH
7.76,30.87,69.36,57.53,2975.67,1211.44,77.13,HIGH
7.71,30.72,68.67,58.41,2947.1,1149.29,77.26,HIGH
7.67,30.38,68.11,57.99,2940.29,1201.92,77.89,HIGH
7.66,30.02,67.94,58.29,2950.3,1209.55,78.18,HIGH
7.64,29.85,68.54,57.72,3000.0,1338.86,78.33,HIGH
7.64,30.29,68.32,57.02,2980.44,1205.85,78.43,HIGH
7.69,30.5,69.22,57.63,2969.44,1141.24,77.79,HIGH
7.74,30.05,69.46,56.2,2993.54,1219.59,78.22,HIGH
7.76,30.52,69.52,56.46,2966.93,1230.27,77.69,HIGH
7.72,30.24,69.92,57.33,2939.32,1158.2,77.87,HIGH
7.67,29.87,69.16,57.91,2898.1,1188.11,78.08,HIGH
7.67,30.3,68.41,56.26,2907.81,1115.18,78.52,HIGH
7.67,29.96,67.83,54.79,2938.79,1218.27,79.14,HIGH
7.71,30.31,68.74,56.55,2929.87,1132.52,78.17,HIGH
7.74,30.23,68.17,56.84,2964.93,1216.74,77.91,HIGH
7.78,30.18,67.64,55.75,2947.72,1164.98,78.02,HIGH
7.73,29.83,67.69,54.19,2936.41,1179.07,78.82,HIGH
7.74,29.94,67.34,55.37,2892.56,1115.61,78.44,HIGH
7.76,29.84,67.46,53.41,2857.28,1094.4,78.83,HIGH
7.75,29.72,67.91,55.28,2851.21,1140.61,78.3,HIGH
7.78,29.96,68.13,56.39,2849.65,1093.57,77.94,HIGH
7.75,29.6,68.94,57.62,2859.6,1137.32,77.51,HIGH
7.77,29.28,68.02,56.22,2890.55,1178.2,77.55,HIGH
7.76,29.43,68.87,57.71,2910.09,1114.2,77.3,HIGH
7.72,29.05,69.01,56.28,2959.86,1199.56,77.68,HIGH
7.75,29.04,69.28,55.44,2950.55,1177.24,77.72,HIGH
7.76,28.93,69.52,57.0,2940.46,1179.51,77.14,HIGH
7.72,28.57,68.69,57.54,2897.62,1165.88,77.01,HIGH
7.76,28.6,68.63,58.93,2883.46,1144.72,76.32,HIGH
7.8,28.24,68.22,59.23,2837.69,1172.46,75.68,HIGH
7.77,27.74,68.46,60.56,2833.03,1090.76,75.2,HIGH
7.78,27.65,68.54,60.07,2822.83,1131.26,75.17,HIGH
7.83,27.51,68.91,58.97,2841.43,1138.39,75.1,HIGH
7.78,27.46,68.17,60.8,2855.09,1156.04,74.83,HIGH
